frame,id,class,xmin,ymin,xmax,ymax
2,1,person,299,227,334,282
2,2,person,596,292,637,364
2,3,person,1382,492,1438,556
2,4,person,240,314,277,381
2,5,person,1473,528,1522,600
2,6,person,116,310,149,380
2,7,person,1274,501,1329,554
2,8,person,999,596,1047,675
2,9,person,22,41,1879,721
2,10,person,945,385,1015,458
3,1,person,299,227,334,282
3,2,person,596,292,637,365
3,3,person,1382,492,1438,556
3,4,person,242,322,281,392
3,5,person,1473,528,1522,600
3,6,person,118,317,155,396
3,7,person,1275,501,1328,553
3,8,person,996,592,1036,658
3,9,person,14,39,1877,722
3,10,person,948,379,1012,446
4,1,person,299,226,334,282
4,2,person,596,292,636,364
4,3,person,1382,492,1437,555
4,4,person,243,318,279,383
4,5,person,1472,528,1522,600
4,6,person,120,318,151,384
4,7,person,1274,501,1328,553
4,8,person,993,588,1025,640
4,9,person,15,39,1876,721
4,10,person,949,375,1011,439
4,12,person,1054,350,1098,417
4,13,person,1571,568,1661,702
4,14,person,50,126,67,145
4,15,person,1685,453,1731,558
5,1,person,299,226,333,281
5,2,person,596,291,636,364
5,3,person,1382,492,1437,555
5,4,person,244,322,283,391
5,5,person,1472,528,1522,601
5,6,person,121,320,158,399
5,7,person,1275,501,1328,553
5,8,person,990,583,1014,622
5,9,person,-63,57,1960,804
5,10,person,950,373,1011,438
5,12,person,1054,351,1098,417
5,13,person,1570,567,1661,702
5,14,person,50,127,67,145
5,15,person,1685,453,1731,558
5,17,person,989,602,1055,694
6,1,person,299,226,333,281
6,2,person,596,291,636,364
6,3,person,1382,492,1437,554
6,4,person,245,324,284,393
6,5,person,1472,527,1523,601
6,6,person,121,320,161,404
6,7,person,1275,501,1328,553
6,8,person,987,579,1003,604
6,9,person,-94,61,1992,836
6,10,person,950,372,1011,437
6,12,person,1054,352,1098,417
6,13,person,1570,567,1661,702
6,14,person,51,127,68,144
6,15,person,1684,453,1730,558
6,17,person,991,598,1049,677
7,1,person,298,226,332,281
7,2,person,596,291,636,363
7,3,person,1382,492,1437,555
7,4,person,246,323,286,396
7,5,person,1472,527,1522,602
7,6,person,121,321,160,404
7,7,person,1274,501,1328,553
7,8,person,985,574,992,587
7,9,person,-93,64,1992,844
7,10,person,950,372,1011,437
7,12,person,1054,353,1098,417
7,13,person,1570,567,1660,702
7,14,person,52,127,68,144
7,15,person,1684,453,1731,558
7,17,person,989,594,1047,673
8,1,person,297,226,332,281
8,2,person,596,291,636,363
8,3,person,1382,492,1437,555
8,4,person,245,322,287,398
8,5,person,1473,527,1522,601
8,6,person,123,324,160,403
8,7,person,1274,501,1328,554
8,8,person,982,570,981,569
8,9,person,-92,64,1993,849
8,10,person,950,372,1010,437
8,12,person,1053,351,1099,417
8,13,person,1571,568,1660,701
8,14,person,52,128,68,145
8,15,person,1684,453,1730,558
8,17,person,987,592,1047,674
9,1,person,298,226,332,281
9,2,person,597,291,635,363
9,3,person,1382,492,1437,555
9,4,person,246,321,290,400
9,5,person,1473,527,1522,601
9,6,person,125,328,160,403
9,7,person,1273,500,1329,554
9,8,person,979,566,970,551
9,9,person,0,51,1902,765
9,10,person,950,374,1009,436
9,12,person,1053,351,1099,417
9,13,person,1572,569,1660,701
9,14,person,53,128,69,145
9,15,person,1684,453,1730,558
9,17,person,979,594,1054,698
10,1,person,297,226,332,282
10,2,person,597,291,635,363
10,3,person,1382,492,1438,555
10,4,person,247,319,292,402
10,5,person,1473,527,1522,601
10,6,person,126,330,161,405
10,7,person,1273,500,1329,555
10,8,person,976,561,959,533
10,9,person,-44,62,1949,816
10,10,person,951,374,1008,436
10,12,person,1053,351,1099,417
10,13,person,1571,569,1660,701
10,14,person,54,128,69,144
10,15,person,1684,453,1730,558
10,17,person,977,590,1049,688
10,18,person,1866,1005,1917,1080
11,1,person,298,227,332,282
11,2,person,597,291,635,362
11,3,person,1382,492,1438,555
11,4,person,248,320,293,402
11,5,person,1473,527,1522,601
11,6,person,126,328,161,403
11,7,person,1273,499,1329,555
11,8,person,974,557,948,516
11,9,person,-57,66,1955,832
11,10,person,952,375,1008,435
11,12,person,1053,351,1099,417
11,13,person,1571,568,1660,702
11,14,person,55,129,70,144
11,15,person,1684,453,1730,558
11,17,person,967,587,1049,700
11,18,person,1864,1002,1917,1080
12,1,person,297,227,331,282
12,2,person,597,291,635,362
12,3,person,1382,491,1438,556
12,4,person,250,321,293,401
12,5,person,1473,528,1522,601
12,6,person,126,328,161,404
12,7,person,1273,499,1329,555
12,8,person,971,552,937,498
12,9,person,-71,63,1961,844
12,10,person,952,375,1008,435
12,12,person,1053,351,1099,417
12,13,person,1571,566,1661,702
12,14,person,55,129,70,144
12,15,person,1684,453,1730,558
12,17,person,970,589,1040,685
12,18,person,1861,1000,1916,1080
13,1,person,294,227,328,282
13,2,person,597,290,635,362
13,3,person,1381,491,1438,556
13,4,person,252,322,294,401
13,5,person,1472,527,1523,603
13,6,person,127,330,161,403
13,7,person,1273,499,1329,555
13,8,person,968,548,926,480
13,9,person,-251,32,2148,977
13,10,person,954,375,1010,435
13,12,person,1051,349,1100,421
13,13,person,1571,566,1661,702
13,14,person,56,129,71,144
13,15,person,1684,453,1730,558
13,17,person,963,590,1048,708
13,18,person,1859,997,1916,1080
13,19,person,1271,455,1341,520
13,20,person,55,123,69,147
14,1,person,293,227,327,282
14,2,person,598,290,635,361
14,3,person,1381,491,1438,557
14,4,person,252,323,296,402
14,5,person,1473,527,1523,603
14,6,person,128,332,161,402
14,7,person,1273,499,1329,556
14,8,person,965,544,916,462
14,9,person,-292,21,2197,1024
14,10,person,955,374,1011,435
14,12,person,1051,348,1101,422
14,13,person,1573,566,1661,701
14,14,person,57,130,71,144
14,15,person,1684,453,1730,558
14,17,person,959,586,1046,709
14,18,person,1857,995,1916,1080
14,19,person,1271,454,1343,521
14,20,person,55,123,69,147
15,1,person,292,226,327,282
15,2,person,598,289,635,361
15,3,person,1381,491,1438,558
15,4,person,255,325,297,402
15,5,person,1473,527,1524,604
15,6,person,129,334,159,399
15,7,person,1274,498,1333,556
15,8,person,963,539,905,445
15,9,person,-294,15,2203,1045
15,10,person,955,373,1012,435
15,12,person,1050,347,1101,423
15,13,person,1574,567,1660,700
15,14,person,58,130,71,144
15,15,person,1683,453,1730,558
15,17,person,957,585,1045,709
