frame,id,class,x,y
2,2,motorbike,931.5210515249072,744.5194698813334
2,5,motorbike,859.9547142176226,697.1819465699034
2,7,motorbike,942.9381256462807,603.5096555101077
2,10,motorbike,902.5869035868166,707.9865681087674
2,13,motorbike,778.889596101193,464.6979613857869
2,15,motorbike,989.1239997424684,562.6596092512858
3,2,motorbike,931.3281839956632,744.6291916169192
3,5,motorbike,859.9547142176226,697.1819465699034
3,7,motorbike,943.0728026016162,603.4273730691475
3,10,motorbike,902.5869035868166,707.9865681087674
3,13,motorbike,778.889596101193,464.6979613857869
3,15,motorbike,988.5177156011389,565.3769862531403
4,2,motorbike,931.2317589862691,744.68404750389
4,5,motorbike,859.9547142176226,697.1819465699034
4,7,motorbike,942.1496565560993,605.0921502786467
4,10,motorbike,902.5869035868166,707.9865681087674
4,13,motorbike,778.889596101193,464.6979613857869
4,15,motorbike,988.4284298898116,566.5958948796462
5,2,motorbike,931.1353398129877,744.7389000707151
5,5,motorbike,860.070809781225,697.1126183183659
5,7,motorbike,941.633038373018,606.5031879765586
5,10,motorbike,902.4966334117065,707.2828931988573
5,13,motorbike,778.7051119710973,464.82521016101566
5,15,motorbike,988.5695477016083,566.5092804657182
6,2,motorbike,931.0389264752881,744.7937493176953
6,5,motorbike,859.7712589246619,696.4023418257203
6,7,motorbike,941.5197875836643,607.6628684144029
6,10,motorbike,902.6962058752175,707.9225518928355
6,13,motorbike,778.5206502767544,464.95244346108103
6,15,motorbike,988.4284298898116,566.5958948796462
7,2,motorbike,931.1353398129877,744.7389000707151
7,5,motorbike,859.7712589246619,696.4023418257203
7,7,motorbike,941.407058044627,608.8172112841954
7,10,motorbike,902.6962058752175,707.9225518928355
7,13,motorbike,778.7051119710973,464.82521016101566
7,15,motorbike,988.3395640696594,567.8090712454365
8,2,motorbike,931.0389264752881,744.7937493176953
8,5,motorbike,859.7712589246619,696.4023418257203
8,7,motorbike,941.1189327495623,607.9073631278814
8,10,motorbike,902.6962058752175,707.9225518928355
8,13,motorbike,778.7051119710973,464.82521016101566
8,15,motorbike,986.4263973011219,570.1352189661029
9,2,motorbike,930.9101839063323,744.2941281172913
9,5,motorbike,859.7712589246619,696.4023418257203
9,7,motorbike,940.8517520451287,608.0703255377618
9,10,motorbike,902.6962058752175,707.9225518928355
9,13,motorbike,778.7051119710973,464.82521016101566
9,15,motorbike,985.7829678928089,571.6766997216797
10,2,motorbike,930.9425189726414,744.8485952451324
10,5,motorbike,859.4705160397299,695.689238869018
10,7,motorbike,940.4510647379185,608.3147180710098
10,10,motorbike,902.5869035868166,707.9865681087674
10,13,motorbike,778.5206502767544,464.95244346108103
10,15,motorbike,985.9801334404558,572.6976892315583
11,2,motorbike,930.8461173045177,744.9034378533275
11,5,motorbike,859.6549440204562,696.4718342650971
11,7,motorbike,939.9411798436206,609.7108013470016
11,10,motorbike,902.4966334117065,707.2828931988573
11,13,motorbike,778.7051119710973,464.82521016101566
11,15,motorbike,985.5613936957978,572.9541064765965
12,2,motorbike,930.7497214703874,744.9582771425823
12,5,motorbike,859.7712589246619,696.4023418257203
12,7,motorbike,939.5416282046403,609.9543654943676
12,10,motorbike,902.4776088653713,708.0505798928813
12,13,motorbike,778.7051119710973,464.82521016101566
12,15,motorbike,984.5847549738788,573.5521557749186
13,2,motorbike,930.7497214703874,744.9582771425823
13,5,motorbike,859.7712589246619,696.4023418257203
13,7,motorbike,939.5416282046403,609.9543654943676
13,10,motorbike,902.3871364932613,707.3470496426431
13,13,motorbike,778.5206502767544,464.95244346108103
13,15,motorbike,984.7840794276889,574.5662149857047
14,2,motorbike,930.6533314697206,745.0131131131974
14,5,motorbike,860.070809781225,697.1126183183659
14,7,motorbike,939.6250694195587,607.7286002081513
14,10,motorbike,902.3871364932613,707.3470496426431
14,13,motorbike,778.5206502767544,464.95244346108103
14,15,motorbike,985.1213893592113,575.4907940482079
15,2,motorbike,930.6533314697206,745.0131131131974
15,5,motorbike,860.070809781225,697.1126183183659
15,7,motorbike,939.7588555285471,607.646953958547
15,10,motorbike,902.0769466858301,706.769461105618
15,13,motorbike,778.5206502767544,464.95244346108103
15,15,motorbike,984.7644044160797,576.8348509086366
16,2,motorbike,930.5239831411101,744.5139059736714
16,5,motorbike,860.070809781225,697.1126183183659
16,7,motorbike,939.3830563152113,608.9661319772122
16,10,motorbike,902.0769466858301,706.769461105618
16,13,motorbike,779.0857341015637,466.98007955837073
16,15,motorbike,984.4873600234737,577.0042102061773
17,2,motorbike,930.6533314697206,745.0131131131974
17,5,motorbike,859.9547142176226,697.1819465699034
17,7,motorbike,939.223778317237,607.9734979314786
17,10,motorbike,902.0769466858301,706.769461105618
17,13,motorbike,779.0857341015637,466.98007955837073
17,15,motorbike,983.7949563032147,577.427481749682
18,2,motorbike,930.6533314697206,745.0131131131974
18,5,motorbike,859.9547142176226,697.1819465699034
18,7,motorbike,938.6888803191074,608.2999325351776
18,10,motorbike,902.0769466858301,706.769461105618
18,13,motorbike,779.2696243888206,466.8533869097411
18,15,motorbike,984.0718822684125,577.2581948476966
19,2,motorbike,930.8461173045177,744.9034378533275
19,5,motorbike,859.9547142176226,697.1819465699034
19,7,motorbike,937.2793886320619,611.3334124031455
19,10,motorbike,902.3871364932613,707.3470496426431
19,13,motorbike,779.4535369688897,466.72667890230446
19,15,motorbike,983.4421106424136,578.7632781822858
20,2,motorbike,930.7497214703874,744.9582771425823
20,5,motorbike,859.9547142176226,697.1819465699034
